Target,Model,Subject,Accuracy,F1,Precision,Recall
Valence,RandomForest,1,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Valence,LogisticRegression,1,0.6111111111111112,0.7407407407407407,0.7142857142857143,0.7692307692307693
Valence,SVM,1,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Valence,RandomForest,2,0.3888888888888889,0.56,0.3888888888888889,1.0
Valence,LogisticRegression,2,0.3888888888888889,0.56,0.3888888888888889,1.0
Valence,SVM,2,0.3888888888888889,0.56,0.3888888888888889,1.0
Valence,RandomForest,3,0.7777777777777778,0.875,0.7777777777777778,1.0
Valence,LogisticRegression,3,0.7222222222222222,0.8387096774193549,0.7647058823529411,0.9285714285714286
Valence,SVM,3,0.7777777777777778,0.875,0.7777777777777778,1.0
Valence,RandomForest,4,0.5,0.6086956521739131,0.5384615384615384,0.7
Valence,LogisticRegression,4,0.5,0.6086956521739131,0.5384615384615384,0.7
Valence,SVM,4,0.6111111111111112,0.7407407407407407,0.5882352941176471,1.0
Valence,RandomForest,5,0.6666666666666666,0.7857142857142857,0.6470588235294118,1.0
Valence,LogisticRegression,5,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273
Valence,SVM,5,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Valence,RandomForest,6,0.6666666666666666,0.8,0.6666666666666666,1.0
Valence,LogisticRegression,6,0.6111111111111112,0.7586206896551724,0.6470588235294118,0.9166666666666666
Valence,SVM,6,0.6666666666666666,0.8,0.6666666666666666,1.0
Valence,RandomForest,7,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
Valence,LogisticRegression,7,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
Valence,SVM,7,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
Valence,RandomForest,8,0.7222222222222222,0.8387096774193549,0.7647058823529411,0.9285714285714286
Valence,LogisticRegression,8,0.8333333333333334,0.896551724137931,0.8666666666666667,0.9285714285714286
Valence,SVM,8,0.7777777777777778,0.875,0.7777777777777778,1.0
Valence,RandomForest,9,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Valence,LogisticRegression,9,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Valence,SVM,9,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Valence,RandomForest,10,0.7222222222222222,0.782608695652174,1.0,0.6428571428571429
Valence,LogisticRegression,10,0.6111111111111112,0.7407407407407407,0.7692307692307693,0.7142857142857143
Valence,SVM,10,0.7222222222222222,0.8275862068965517,0.8,0.8571428571428571
Valence,RandomForest,11,0.5,0.6666666666666666,0.5,1.0
Valence,LogisticRegression,11,0.4444444444444444,0.6153846153846154,0.47058823529411764,0.8888888888888888
Valence,SVM,11,0.5,0.6666666666666666,0.5,1.0
Valence,RandomForest,12,0.5,0.6666666666666666,0.6428571428571429,0.6923076923076923
Valence,LogisticRegression,12,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Valence,SVM,12,0.6666666666666666,0.8,0.7058823529411765,0.9230769230769231
Valence,RandomForest,13,0.7222222222222222,0.8275862068965517,0.75,0.9230769230769231
Valence,LogisticRegression,13,0.6666666666666666,0.8,0.7058823529411765,0.9230769230769231
Valence,SVM,13,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Valence,RandomForest,14,0.5555555555555556,0.7142857142857143,0.6666666666666666,0.7692307692307693
Valence,LogisticRegression,14,0.4444444444444444,0.5454545454545454,0.6666666666666666,0.46153846153846156
Valence,SVM,14,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Valence,RandomForest,15,0.5,0.64,0.5,0.8888888888888888
Valence,LogisticRegression,15,0.4444444444444444,0.5,0.45454545454545453,0.5555555555555556
Valence,SVM,15,0.5,0.6666666666666666,0.5,1.0
Valence,RandomForest,16,0.3888888888888889,0.56,0.3888888888888889,1.0
Valence,LogisticRegression,16,0.5,0.6086956521739131,0.4375,1.0
Valence,SVM,16,0.3888888888888889,0.56,0.3888888888888889,1.0
Valence,RandomForest,17,0.5,0.64,0.47058823529411764,1.0
Valence,LogisticRegression,17,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5
Valence,SVM,17,0.5,0.64,0.47058823529411764,1.0
Valence,RandomForest,18,0.6666666666666666,0.7272727272727273,0.5714285714285714,1.0
Valence,LogisticRegression,18,0.6111111111111112,0.6956521739130435,0.5333333333333333,1.0
Valence,SVM,18,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
Valence,RandomForest,19,0.7222222222222222,0.8148148148148148,0.7857142857142857,0.8461538461538461
Valence,LogisticRegression,19,0.6111111111111112,0.6956521739130435,0.8,0.6153846153846154
Valence,SVM,19,0.8333333333333334,0.8888888888888888,0.8571428571428571,0.9230769230769231
Valence,RandomForest,20,0.5555555555555556,0.6923076923076923,0.5625,0.9
Valence,LogisticRegression,20,0.5555555555555556,0.6666666666666666,0.5714285714285714,0.8
Valence,SVM,20,0.6111111111111112,0.7407407407407407,0.5882352941176471,1.0
Valence,RandomForest,21,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Valence,LogisticRegression,21,0.3888888888888889,0.5217391304347826,0.46153846153846156,0.6
Valence,SVM,21,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Valence,RandomForest,22,0.6666666666666666,0.8,0.75,0.8571428571428571
Valence,LogisticRegression,22,0.2777777777777778,0.38095238095238093,0.5714285714285714,0.2857142857142857
Valence,SVM,22,0.7777777777777778,0.875,0.7777777777777778,1.0
Valence,RandomForest,23,0.6111111111111112,0.72,0.6,0.9
Valence,LogisticRegression,23,0.5555555555555556,0.6666666666666666,0.5714285714285714,0.8
Valence,SVM,23,0.5,0.6666666666666666,0.5294117647058824,0.9
Arousal,RandomForest,1,0.6666666666666666,0.7857142857142857,0.6470588235294118,1.0
Arousal,LogisticRegression,1,0.6111111111111112,0.7407407407407407,0.625,0.9090909090909091
Arousal,SVM,1,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,RandomForest,2,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,LogisticRegression,2,0.8333333333333334,0.9032258064516129,0.8235294117647058,1.0
Arousal,SVM,2,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,RandomForest,3,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,LogisticRegression,3,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,SVM,3,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,RandomForest,4,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,LogisticRegression,4,0.7777777777777778,0.8461538461538461,0.7857142857142857,0.9166666666666666
Arousal,SVM,4,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,RandomForest,5,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,LogisticRegression,5,0.6666666666666666,0.8,0.7058823529411765,0.9230769230769231
Arousal,SVM,5,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,RandomForest,6,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,LogisticRegression,6,0.6111111111111112,0.7586206896551724,0.9166666666666666,0.6470588235294118
Arousal,SVM,6,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,RandomForest,7,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,LogisticRegression,7,0.7777777777777778,0.875,0.875,0.875
Arousal,SVM,7,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,RandomForest,8,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,LogisticRegression,8,0.6666666666666666,0.75,0.75,0.75
Arousal,SVM,8,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,RandomForest,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,LogisticRegression,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,SVM,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,RandomForest,10,0.5,0.6666666666666666,0.5,1.0
Arousal,LogisticRegression,10,0.3888888888888889,0.56,0.4375,0.7777777777777778
Arousal,SVM,10,0.5,0.6666666666666666,0.5,1.0
Arousal,RandomForest,11,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,LogisticRegression,11,0.5555555555555556,0.7142857142857143,0.625,0.8333333333333334
Arousal,SVM,11,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,RandomForest,12,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,LogisticRegression,12,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,SVM,12,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,RandomForest,13,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,LogisticRegression,13,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,SVM,13,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,RandomForest,14,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,LogisticRegression,14,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,SVM,14,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,RandomForest,15,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,LogisticRegression,15,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,SVM,15,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,RandomForest,16,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,LogisticRegression,16,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,SVM,16,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,RandomForest,17,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,LogisticRegression,17,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,SVM,17,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0
Arousal,RandomForest,18,0.8333333333333334,0.9090909090909091,0.8333333333333334,1.0
Arousal,LogisticRegression,18,0.8333333333333334,0.9090909090909091,0.8333333333333334,1.0
Arousal,SVM,18,0.8333333333333334,0.9090909090909091,0.8333333333333334,1.0
Arousal,RandomForest,19,0.8888888888888888,0.9411764705882353,0.9411764705882353,0.9411764705882353
Arousal,LogisticRegression,19,0.8888888888888888,0.9411764705882353,0.9411764705882353,0.9411764705882353
Arousal,SVM,19,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,RandomForest,20,0.4444444444444444,0.5833333333333334,0.7,0.5
Arousal,LogisticRegression,20,0.8333333333333334,0.9032258064516129,0.8235294117647058,1.0
Arousal,SVM,20,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,RandomForest,21,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,LogisticRegression,21,0.6111111111111112,0.7407407407407407,0.7692307692307693,0.7142857142857143
Arousal,SVM,21,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,RandomForest,22,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,LogisticRegression,22,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,SVM,22,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,RandomForest,23,0.5,0.6666666666666666,0.5,1.0
Arousal,LogisticRegression,23,0.5,0.6666666666666666,0.5,1.0
Arousal,SVM,23,0.5,0.6666666666666666,0.5,1.0
Dominance,RandomForest,1,0.5,0.6666666666666666,0.6,0.75
Dominance,LogisticRegression,1,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,SVM,1,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,RandomForest,2,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Dominance,LogisticRegression,2,0.6111111111111112,0.6956521739130435,0.8,0.6153846153846154
Dominance,SVM,2,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Dominance,RandomForest,3,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,LogisticRegression,3,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,SVM,3,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,RandomForest,4,0.5,0.6666666666666666,0.5,1.0
Dominance,LogisticRegression,4,0.6111111111111112,0.6956521739130435,0.5714285714285714,0.8888888888888888
Dominance,SVM,4,0.5,0.6666666666666666,0.5,1.0
Dominance,RandomForest,5,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Dominance,LogisticRegression,5,0.7777777777777778,0.8666666666666667,0.7647058823529411,1.0
Dominance,SVM,5,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Dominance,RandomForest,7,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,LogisticRegression,7,0.4444444444444444,0.6153846153846154,0.5333333333333333,0.7272727272727273
Dominance,SVM,7,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,RandomForest,8,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,8,0.7222222222222222,0.8387096774193549,0.7647058823529411,0.9285714285714286
Dominance,SVM,8,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Dominance,LogisticRegression,9,0.8888888888888888,0.9411764705882353,0.9411764705882353,0.9411764705882353
Dominance,SVM,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Dominance,RandomForest,10,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,10,0.7222222222222222,0.8387096774193549,0.7647058823529411,0.9285714285714286
Dominance,SVM,10,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,11,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,11,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,SVM,11,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,12,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,LogisticRegression,12,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,SVM,12,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,RandomForest,13,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,13,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,SVM,13,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,14,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,LogisticRegression,14,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,SVM,14,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Dominance,RandomForest,16,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,LogisticRegression,16,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,SVM,16,0.6666666666666666,0.8,0.6666666666666666,1.0
Dominance,RandomForest,17,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,17,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,SVM,17,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,18,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,LogisticRegression,18,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,SVM,18,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,RandomForest,19,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,LogisticRegression,19,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,SVM,19,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,RandomForest,20,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,LogisticRegression,20,0.7222222222222222,0.8387096774193549,0.7647058823529411,0.9285714285714286
Dominance,SVM,20,0.7777777777777778,0.875,0.7777777777777778,1.0
Dominance,RandomForest,21,0.6666666666666666,0.8,0.9230769230769231,0.7058823529411765
Dominance,LogisticRegression,21,0.6666666666666666,0.8,0.9230769230769231,0.7058823529411765
Dominance,SVM,21,0.7222222222222222,0.8387096774193549,0.9285714285714286,0.7647058823529411
Dominance,RandomForest,22,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,LogisticRegression,22,0.7777777777777778,0.875,0.875,0.875
Dominance,SVM,22,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Dominance,RandomForest,23,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
Dominance,LogisticRegression,23,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
Dominance,SVM,23,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0
